,raceId,year,round,circuitId,name,date,time,url,data_source,ingestion_date
589,590,1974,1,25,Argentine Grand Prix,1974-01-13,\N,http://en.wikipedia.org/wiki/1974_Argentine_Grand_Prix,testing,2024-07-19 09:54:18.999993
590,591,1974,2,18,Brazilian Grand Prix,1974-01-27,\N,http://en.wikipedia.org/wiki/1974_Brazilian_Grand_Prix,testing,2024-07-19 09:54:18.999993
591,592,1974,3,30,South African Grand Prix,1974-03-30,\N,http://en.wikipedia.org/wiki/1974_South_African_Grand_Prix,testing,2024-07-19 09:54:18.999993
592,593,1974,4,45,Spanish Grand Prix,1974-04-28,\N,http://en.wikipedia.org/wiki/1974_Spanish_Grand_Prix,testing,2024-07-19 09:54:18.999993
593,594,1974,5,50,Belgian Grand Prix,1974-05-12,\N,http://en.wikipedia.org/wiki/1974_Belgian_Grand_Prix,testing,2024-07-19 09:54:18.999993
594,595,1974,6,6,Monaco Grand Prix,1974-05-26,\N,http://en.wikipedia.org/wiki/1974_Monaco_Grand_Prix,testing,2024-07-19 09:54:18.999993
595,596,1974,7,47,Swedish Grand Prix,1974-06-09,\N,http://en.wikipedia.org/wiki/1974_Swedish_Grand_Prix,testing,2024-07-19 09:54:18.999993
596,597,1974,8,39,Dutch Grand Prix,1974-06-23,\N,http://en.wikipedia.org/wiki/1974_Dutch_Grand_Prix,testing,2024-07-19 09:54:18.999993
597,598,1974,9,41,French Grand Prix,1974-07-07,\N,http://en.wikipedia.org/wiki/1974_French_Grand_Prix,testing,2024-07-19 09:54:18.999993
598,599,1974,10,38,British Grand Prix,1974-07-20,\N,http://en.wikipedia.org/wiki/1974_British_Grand_Prix,testing,2024-07-19 09:54:18.999993
599,600,1974,11,20,German Grand Prix,1974-08-04,\N,http://en.wikipedia.org/wiki/1974_German_Grand_Prix,testing,2024-07-19 09:54:18.999993
600,601,1974,12,23,Austrian Grand Prix,1974-08-18,\N,http://en.wikipedia.org/wiki/1974_Austrian_Grand_Prix,testing,2024-07-19 09:54:18.999993
601,602,1974,13,14,Italian Grand Prix,1974-09-08,\N,http://en.wikipedia.org/wiki/1974_Italian_Grand_Prix,testing,2024-07-19 09:54:18.999993
602,603,1974,14,48,Canadian Grand Prix,1974-09-22,\N,http://en.wikipedia.org/wiki/1974_Canadian_Grand_Prix,testing,2024-07-19 09:54:18.999993
603,604,1974,15,46,United States Grand Prix,1974-10-06,\N,http://en.wikipedia.org/wiki/1974_United_States_Grand_Prix,testing,2024-07-19 09:54:18.999993
